logged_at,schema_version,kind,engine,run_id,run_id_short,spec_source,scenario_title,scenario_source,pair_key,pair_key_full,trials,wins_attacker,wins_defender,draws,no_result,attacker_win_rate,defender_win_rate,draw_rate,no_result_rate,avg_time,attacker_pos,defender_pos,start_distance,encounter_type,defender_count,a_name,a_level,a_hp,a_atk,a_role,a_cost,a_range,a_attack_speed,a_move_speed,a_target_type,a_attack_type,a_hp_per_level,a_atk_per_level,d_name,d_level,d_hp,d_atk,d_role,d_cost,d_range,d_attack_speed,d_move_speed,d_target_type,d_attack_type,d_hp_per_level,d_atk_per_level,a_perk_count,d_perk_count,perk_count_adv,a_has_perk_armor,a_has_perk_cleave,a_has_perk_duelist,a_has_perk_execute,a_has_perk_fury,a_has_perk_haste,a_has_perk_lifesteal,a_has_perk_longshot,a_has_perk_rapid,a_has_perk_shield,d_has_perk_armor,d_has_perk_cleave,d_has_perk_duelist,d_has_perk_execute,d_has_perk_fury,d_has_perk_haste,d_has_perk_lifesteal,d_has_perk_longshot,d_has_perk_rapid,d_has_perk_shield,perk_adv_armor,perk_adv_cleave,perk_adv_duelist,perk_adv_execute,perk_adv_fury,perk_adv_haste,perk_adv_lifesteal,perk_adv_longshot,perk_adv_rapid,perk_adv_shield,a_dps,d_dps,a_ttk_est,d_ttk_est,dps_adv,range_adv,ttk_adv,label_majority_winner,label_attacker_better
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,Knight__vs__Tank__duel__x1,Knight@L1|none__vs__Tank@L3|haste__duel__x1__distna,40,0,0,0,40,0.0,0.0,0.0,1.0,60.04999999999992,,,,duel,1,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,Tank,3,280,16,tower,150,1,0.7,0.0,ground,melee,40,3,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,15.0,11.2,18.666666666666668,10.714285714285715,3.8000000000000007,0.0,-7.9523809523809526,tie,0
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,Ogre Boss__vs__Wyvern__duel__x1,Ogre Boss@L8|fury+rapid__vs__Wyvern@L4|execute__duel__x1__distna,40,0,0,0,40,0.0,0.0,0.0,1.0,60.0,,,,duel,1,Ogre Boss,8,820,62,boss_enemy,200,1,0.6,0.8,tower,melee,60,6,Wyvern,4,180,26,air_enemy,110,1,1.0,2.0,tower,melee,30,4,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,37.199999999999996,26.0,4.838709677419355,31.53846153846154,11.199999999999996,0.0,26.699751861042184,tie,0
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,Ogre Boss__vs__Tank__duel__x1,Ogre Boss@L3|execute__vs__Tank@L5|duelist__duel__x1__distna,40,40,0,0,0,1.0,0.0,0.0,0.0,25.958333333333325,,,,duel,1,Ogre Boss,3,520,32,boss_enemy,200,1,0.6,0.8,tower,melee,60,6,Tank,5,360,22,tower,150,1,0.7,0.0,ground,melee,40,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,19.2,15.399999999999999,18.75,33.76623376623377,3.8000000000000007,0.0,15.016233766233768,attacker,1
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,Dark Shaman__vs__Mage__duel__x1,Dark Shaman@L7|haste+longshot__vs__Mage@L3|rapid__duel__x1__distna,40,40,0,0,0,1.0,0.0,0.0,0.0,6.0,,,,duel,1,Dark Shaman,7,230,46,ground_enemy,120,3,0.9,1.2,tower,magic,25,5,Mage,3,110,39,tower,120,3,0.9,0.0,ground,magic,20,7,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-1,0,41.4,35.1,2.6570048309178746,6.552706552706552,6.299999999999997,0.0,3.8957017217886776,attacker,1
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,Tank__vs__Archer__duel__x1,Tank@L8|armor+haste__vs__Archer@L5|armor__duel__x1__distna,40,0,8,0,32,0.0,0.2,0.0,0.8,50.16666666666667,,,,duel,1,Tank,8,480,31,tower,150,1,0.7,0.0,ground,melee,40,3,Archer,5,180,44,tower,100,4,1.2,0.0,both,ranged,25,6,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.7,52.8,8.294930875576037,9.090909090909092,-31.099999999999998,-3.0,0.7959782153330544,defender,0
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,AntiAir Tower__vs__Goblin__duel__x1,AntiAir Tower@L6|execute+fury__vs__Goblin@L5|haste__duel__x1__distna,40,0,40,0,0,0.0,1.0,0.0,0.0,12.076923076923084,,,,duel,1,AntiAir Tower,6,215,52,tower,130,5,1.0,0.0,air,ranged,25,6,Goblin,5,140,20,ground_enemy,40,1,1.3,1.8,tower,melee,20,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,52.0,26.0,2.6923076923076925,8.26923076923077,26.0,4.0,5.5769230769230775,defender,0
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,Runner__vs__AntiAir Tower__duel__x1,Runner@L3|longshot__vs__AntiAir Tower@L4|armor__duel__x1__distna,40,40,0,0,0,1.0,0.0,0.0,0.0,15.533333333333331,,,,duel,1,Runner,3,70,10,ground_enemy,35,1,1.5,2.5,tower,melee,15,2,AntiAir Tower,4,165,40,tower,130,5,1.0,0.0,air,ranged,25,6,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,15.0,40.0,11.0,1.75,-25.0,-4.0,-9.25,attacker,1
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,Dark Shaman__vs__Knight__duel__x1,Dark Shaman@L7|fury+rapid__vs__Knight@L1|none__duel__x1__distna,40,40,0,0,0,1.0,0.0,0.0,0.0,6.574074074074069,,,,duel,1,Dark Shaman,7,230,46,ground_enemy,120,3,0.9,1.2,tower,magic,25,5,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,41.4,15.0,2.898550724637681,15.333333333333334,26.4,2.0,12.434782608695652,attacker,1
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,Wyvern__vs__Runner__duel__x1,Wyvern@L1|none__vs__Runner@L10|armor+duelist+rapid__duel__x1__distna,40,0,0,0,40,0.0,0.0,0.0,1.0,60.0,,,,duel,1,Wyvern,1,90,14,air_enemy,110,1,1.0,2.0,tower,melee,30,4,Runner,10,175,24,ground_enemy,35,1,1.5,2.5,tower,melee,15,2,0,3,-3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,-1,0,-1,0,0,0,0,0,-1,0,14.0,36.0,12.5,2.5,-22.0,0.0,-10.0,tie,0
2026-01-06T09:13:04,v1,auto_experiment,simulate_duel_2d,fbd766e2-19ba-4085-b279-1cf6951dfcb9,fbd766e2,units_runtime,,,Knight__vs__Goblin__duel__x1,Knight@L1|none__vs__Goblin@L4|longshot__duel__x1__distna,40,0,40,0,0,0.0,1.0,0.0,0.0,10.038461538461538,,,,duel,1,Knight,1,120,15,tower,80,1,1.0,0.0,ground,melee,35,4,Goblin,4,120,17,ground_enemy,40,1,1.3,1.8,tower,melee,20,3,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,15.0,22.1,8.0,5.4298642533936645,-7.100000000000001,0.0,-2.5701357466063355,defender,0
